"Number","Genebank","Genebank.ID","Species.code","Species","GPS","GPS.1","GPS.2","GPS.3","Place","Province","COUNTRY","Description","Date.of.collecton","Elevation","Ploidy","gps.lat","gps.lon","gps.elevation"
281,"CPC",6047,"NRS","neorossii",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
282,"CPC",7517,"OCR","ochranthum",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
283,"CPC",7129,"VNT","venturii",-25.15,"2509S",-658.333,"06550W","P. Salta","D. Chicoana","ARG","Cuesta del Obispo, 7km arriba pie de la cuesta, ruta nac.59, km 50.7","08/04/74",2740,"24",-25.15,-65.8333333333333,3547.0712890625
284,"CPC",7034,"PLS","palustre",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,NA,NA,NA,NA
285,"CPC",1576,"PLS","palustre",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,NA,NA,NA,NA
286,"CPC",2451,"PLS","palustre",-41.05,"4103S",-71.15,"07109W","P. Neuquen",NA,"ARG","Peninsula Quertrihue. Parque Nacional de Nahuel Huapi","01/04/52",800,NA,-41.05,-71.15,793.227111816406
287,"CPC",7328,"SPEC","species",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
288,"CPC",6024,"PAM","pampasense",NA,NA,NA,NA,"D. Ayacucho","P. Cangallo","PER","Pajonal, between Ocras and Andahuaylas","18/04/53",2000,"24",NA,NA,NA
289,"CPC",4188,"PHU","phureja",NA,NA,NA,NA,"D. Narino",NA,"COL",NA,NA,NA,NA,NA,NA,NA
290,"CPC",4414,"PHU","phureja",NA,NA,NA,NA,"E. Merida",NA,"VEN",NA,NA,NA,NA,NA,NA,NA
291,"CPC",7090,"RAP","raphanifolium",NA,NA,NA,NA,"D. Cusco",NA,"PER","Fort Sacsayhuaman, above Cuzco","26/02/58",NA,"24",NA,NA,NA
292,"CPC",7105,"SPEC","species",-14.05,"1403S",-724.666,"07228W","D. Apurimac","P. Abancay","PER","Abra Soccllaccasa, at the top of the pass before descending to Abancay","17/04/71",4050,NA,-14.05,-72.4666666666667,4309.35400390625
293,"CPC",7165,"SNK","schenckii",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,NA,NA,NA,NA
294,"CPC",7164,"SNK","schenckii",173.333,"1720N",-964.833,"09629W","E. Oaxaca",NA,"MEX","Sierra de Juarez, 14 miles on the Oaxaca-Ixtlan road past the divergence","21/10/58",2700,NA,17.3333333333333,-96.4833333333333,2093.68408203125
295,"CPC",7331,"SEM","semidemissum",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
296,"CPC",4741,"STN","stenotomum",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
297,"CPC",12,"STO","stoloniferum",NA,NA,NA,NA,"E. Tlaxcala",NA,"MEX","Tetlanochan -Mt. Malinche, Estranjerotla","21/06/38",2600,NA,NA,NA,NA
298,"CPC",28,"STO","stoloniferum",191.166,"1907N",-987.666,"09846W","E. Mexico",NA,"MEX","Popocatepetl. Amecameca to Paraje","25/07/38",2700,"48",19.1166666666667,-98.7666666666667,2482.23266601562
299,"CPC",7069,"DMS","demissum",NA,NA,NA,NA,"P. Bolivar","C. Guaranda","ECU",NA,NA,NA,NA,NA,NA,NA
300,"CPC",6032,"WBR","weberbaueri",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,NA,NA,NA,NA
301,"CIP",761605,"ALB","albicans",NA,NA,NA,NA,"P. Chimborazo",NA,"ECU","Cerro Colorado",NA,3600,NA,NA,NA,NA
302,"CIP",763004,"AMY","amayanum",NA,NA,NA,NA,"D. Huancavelica",NA,"PER",NA,NA,NA,NA,NA,NA,NA
303,"CIP",763005,"AMY","amayanum",NA,NA,NA,NA,"D. Huancavelica",NA,"PER",NA,NA,NA,NA,NA,NA,NA
304,"CIP",761448,"ACP","ancophilum",NA,NA,NA,NA,"D. Ancash","P. Yungay","PER","Llanganuco",NA,3750,NA,NA,NA,NA
305,"CIP",762631,"AGU","augustii",NA,NA,NA,NA,"D. Ancash","P. Huaraz","PER",NA,NA,NA,NA,NA,NA,NA
306,"CIP",761755,"COP","coelestipetalum",NA,NA,NA,NA,"D. Cusco","P. Anta","PER","Ccalayhua",NA,3525,NA,NA,NA,NA
307,"CIP",761999,"COP","coelestipetalum",NA,NA,NA,NA,"D. Apurimac","P. Abancay","PER","Yanamachay",NA,2950,NA,NA,NA,NA
308,"CIP",762533,"DCM","dolichocremastrum",NA,NA,NA,NA,"D. Ancash","P. Huari","PER","Near  Chavin",NA,3600,NA,NA,NA,NA
309,"CIP",761224,"HRO","huarochiriense",NA,NA,NA,NA,"D. Lima","P. Huarochiri","PER","Huarochiri",NA,3154,NA,NA,NA,NA
310,"CIP",761265,"SPEC","species",NA,NA,NA,NA,"D. Ancash","P. Aija","PER","Huayan",NA,3600,NA,NA,NA,NA
311,"CIP",761259,"HCR","hypacrarthrum",NA,NA,NA,NA,"D. Ancash","P. Aija","PER","Huayan",NA,2800,NA,NA,NA,NA
312,"CIP",761252,"IRS","irosinum",NA,NA,NA,NA,"D. Cajamarca","P. Chota","PER","Cerro Iros",NA,3250,NA,NA,NA,NA
313,"CIP",762259,"IRS","irosinum",NA,NA,NA,NA,"D. Cajamarca","P. Cutervo","PER","Laurel",NA,2600,NA,NA,NA,NA
314,"CIP",761078,"LYC","lycopersicoides",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,NA,NA,NA,NA
315,"CIP",761465,"SGR","sogarandinum",NA,NA,NA,NA,"D. Ancash","P. Sihuas","PER","Cerro Huinjirca",NA,3300,NA,NA,NA,NA
316,"CIP",761586,"SGR","sogarandinum",NA,NA,NA,NA,"D. La Libertad","P. Pataz","PER","Blanca Murococha",NA,3600,NA,NA,NA,NA
317,"CGN",17843,"ACL","acaule",-159.166,"1555S",-686.333,"06838W","D. La Paz","P. Omasuyos","BOL","High pass between Achacachi and Sorata","27/03/59",4500,"48",-15.9166666666667,-68.6333333333333,4280.51123046875
318,"CGN",20620,"ACL","acaule",-186.333,"1838S",-66.95,"06657W","D. Oruro","P. Poopo","BOL","Farm (finke St. Helena), 5 km from Plazna to Lago Poopo","04/04/80",3700,"48",-18.6333333333333,-66.95,3696
319,"CGN",18285,"AGF","agrimonifolium",15.5,"1530N",-90.95,"09057W","D. Totonicapan",NA,"GTM","Chemal","23/10/56",2651,"48",15.5,-90.95,1905.13952636719
320,"CGN",18245,"ALN","alandiae",-181.166,"1807S",-65.1,"06506W","D. Cochabamba","P. Campero","BOL","10 km from Aiquile on the road to Misque, by the railway crossing","26/03/80",2400,"24",-18.1166666666667,-65.1,2227.857421875
321,"CGN",18344,"BCP","brachycarpum",1.6,"0136N",-77.15,"07709W","D. Narino","P. Pasto","COL","La Union, 2 km E of Santiago on the road to San Francisco","08/04/58",2200,"24",1.6,-77.15,1759.71008300781
322,"CGN",20644,"BER","berthaultii",-179.166,"1755S",-659.166,"06555W","D. Cochabamba","P. E. Arce","BOL","17 km along road from Anzaldo to Mollepujro, just above Alfamayo","06/03/80",2600,"24",-17.9166666666667,-65.9166666666667,2785.94091796875
323,"CGN",20650,"BER","berthaultii",NA,NA,NA,NA,"D. Chuquisaca","P. Oropeza","BOL","17 km from Sucre to Zudanez, Tambo-kasa (east of Sucre)","11/03/59",2750,"24",NA,NA,NA
324,"CGN",18042,"BER","berthaultii",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,"24",NA,NA,NA
325,"CGN",17681,"BST","brachistotrichum",NA,NA,NA,NA,"E. Durango",NA,"MEX","Near Chihuahua border, 45 miles from Parral between Ojito and Rio Balleza",NA,NA,"24",NA,NA,NA
326,"CGN",17721,"BCP","brachycarpum",19.4,"1924N",-100.25,"10015W","E. Michoacan",NA,"MEX","Near Zitacuaro, km 147 from Mexico to Morelia","31/07/49",2920,"72",19.4,-100.25,3030.95581054688
327,"CGN",18231,"BRC","brevicaule",-173.166,"1719S",-663.666,"06622W","D. Cochabamba","P. Quillacollo","BOL","25.5 km from Quillacollo on the road to Morochata.Below Hairpin Bend by","02/04/80",3850,"24",-17.3166666666667,-66.3666666666667,3928.6728515625
328,"CGN",17683,"BUK","bukasovii",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"24",NA,NA,NA
329,"CGN",18249,"SPEC","species",-126.833,"1241S",-75.5,"07530W","D. Junin","P. Huancayo","PER","Km 337 of Lima, between Huancayo and La Mejorada","15/04/53",3700,"24",-12.6833333333333,-75.5,4709.052734375
330,"CGN",21306,"BLB","bulbocastanum",17.5,"1730N",-96.45,"09627W","E. Oaxaca",NA,"MEX","Road from Oaxaca to Valle Nacional","01/10/58",1950,"24",17.5,-96.45,2454.50073242188
331,"CGN",17693,"BLB","bulbocastanum",197.166,"1943N",-997.833,"09947W","E. Mexico",NA,"MEX","Cerro de Cocotitlan","01/10/58",NA,"24",19.7166666666667,-99.7833333333333,2752.37280273438
332,"CGN",18062,"CNS","canense",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,NA,NA,NA,NA
333,"CGN",18123,"CNS","canense",-16.35,"1621S",-675.833,"06735W","D. La Paz","P. Sud Yungas","BOL","20 km from Chulumani to Pt. Villa, Chaijro Village at Montoncora River,","21/02/80",1350,NA,-16.35,-67.5833333333333,1178.65502929688
334,"CGN",18297,"CAP","capsicibaccatum",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,"24",NA,NA,NA
335,"CGN",18268,"CAP","capsicibaccatum",-173.333,"1720S",-66.35,"06621W","D. Cochabamba","P. Quillacollo","BOL","22 km from Quillacollo old road to Morochata near New Puente San Miguel","03/04/80",3650,"24",-17.3333333333333,-66.35,3504.52514648438
336,"CGN",18325,"CPH","cardiophyllum",NA,NA,NA,NA,"E. Michoacan",NA,"MEX",NA,NA,NA,"24",NA,NA,NA
337,"CGN",18326,"CPH","cardiophyllum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"24",NA,NA,NA
338,"CGN",18248,"CHC","chacoense",NA,NA,NA,NA,NA,NA,"ARG",NA,NA,NA,"24",NA,NA,NA
339,"CGN",18060,"CHP","chaparense",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,NA,NA,NA,NA
340,"CGN",18127,"QUM","circaeifolium quimense",-17.05,"1703S",-672.833,"06717W","D. La Paz","P. Inquisivi","BOL","88 km from Panduro to Quime (10 km before Quime)","24/02/80",3310,"24",-17.05,-67.2833333333333,4655.49169921875
341,"CGN",18128,"QUM","circaeifolium quimense",-168.333,"1650S",-672.666,"06716W","D. La Paz","P. Inquisivi","BOL","25 km from Inquisivi to Circuata","25/02/80",2810,"24",-16.8333333333333,-67.2666666666667,3295.009765625
342,"CGN",18313,"DMS","demissum",240.333,"2402N",-104.683,"10441W","E. Durango",NA,"MEX","Durango",NA,NA,"72",24.0333333333333,-104.683333333333,1898.60717773438
343,"CGN",17820,"DMS","demissum",19.15,"1909N",-999.333,"09956W","E. Mexico",NA,"MEX","38 km from the main Toluca-Morelia road, towards Valle de Bravo","02/10/58",2750,"72",19.15,-99.9333333333333,2670.20971679688
344,"CGN",20571,"DMS","demissum",155.166,"1531N",-914.833,"09129W","D. Huehuetenango",NA,"GTM","Sierra de los Cuchumatanes, 28 miles from Huehuetenango","30/10/58",3500,"72",15.5166666666667,-91.4833333333333,3465.18505859375
345,"CGN",17810,"DMS","demissum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"72",NA,NA,NA
346,"CGN",20560,"GND","gandarillasii",-183.333,"1820S",-651.666,"06510W","D. Cochabamba","P. Campero","BOL","20 km from Aiquile to Sucre","11/03/59",2200,"24",-18.3333333333333,-65.1666666666667,2252.95971679688
347,"CGN",17851,"GRL","gourlayi",-225.166,"2231S",-651.166,"06507W","P. Salta","D. Santa Victoria","ARG","Rio Nazareno",NA,3050,"24",-22.5166666666667,-65.1166666666667,3082.2734375
348,"CGN",18290,"GRR","guerreroense",19.65,"1939N",-103.633,"10338W","E. Jalisco",NA,"MEX","Near Sayulapa, slopes of Volcan de Nevada","18/12/47",NA,"72",19.65,-103.633333333333,2313.4560546875
349,"CGN",17717,"HJT","hjertingii",254.166,"2525N",-100.85,"10051W","E. Coahuila",NA,"MEX","Near Saltillo, Municipio Artiaga, Canon de los Lirios, Chupadero","12/10/49",2000,"48",25.4166666666667,-100.85,1823.4384765625
350,"CGN",17718,"HJT","hjertingii",254.166,"2525N",-101,"10100W","E. Coahuila",NA,"MEX","Saltillo.  School of Agriculture, about 5 miles S of Saltillo","23/08/58",1760,"48",25.4166666666667,-101,1621.45520019531
351,"CGN",18106,"HDM","hondelmannii",-19.1,"1906S",-652.333,"06514W","D. Chuquisaca","P. Oropeza","BOL","Tacos, 12 km from Sucre to Zudanez","26/03/74",2900,"24",-19.1,-65.2333333333333,2791.2568359375
352,"CGN",18182,"SPEC","species",-192.166,"1913S",-658.333,"06550W","D. Potosi","P. Frias","BOL","2 km from Tinguipaya to Potosi","28/02/80",3180,"24",-19.2166666666667,-65.8333333333333,3480.88989257812
353,"CGN",18306,"HCB","huancabambense",-5.4,"0524S",-79.6,"07936W","D. Piura","P. Huancabamba","PER","Km 22 Huancabamba to Canchaque (Jusgara)","16/06/74",2500,"24",-5.4,-79.6,1323.80432128906
354,"CGN",17719,"HCB","huancabambense",-52.333,"0514S",-794.666,"07928W","D. Piura","P. Huancabamba","PER","Causol",NA,1800,"24",-5.23333333333333,-79.4666666666667,2002.39282226562
355,"CGN",18349,"JAM","jamesii",NA,NA,NA,NA,"E. New Mexico",NA,"USA","Arizona and New Mexico",NA,NA,"24",NA,NA,NA
356,"CGN",18174,"LPH","leptophyes",-184.333,"1826S",-664.333,"06626W","D. Potosi","P. Bustillos","BOL","24 km from Uncia to Chayanta and Amayapampa","20/02/80",3600,"24",-18.4333333333333,-66.4333333333333,3703.892578125
357,"CGN",18140,"LPH","leptophyes",-165.333,"1632S",-68.1,"06806W","D. La Paz","P. Murillo","BOL","Below la paz on road to palca (ovejuyo) near inst. nac. de biologia animal","12/03/80",3570,"24",-16.5333333333333,-68.1,3338.79052734375
358,"CGN",18337,"LES","lesteri",162.833,"1617N",-96.55,"09633W","E. Oaxaca",NA,"MEX","Miahuatlan.  25.8 km S of Miahuatlan on the Oaxaca-Puerto Angel road","19/10/58",2300,"24",16.2833333333333,-96.55,1664.32543945312
359,"CGN",18064,"MAG","maglia",NA,NA,NA,NA,"P. Valparaiso",NA,"CHL","Olmue, Granizo","30/03/56",100,"24",NA,NA,NA
360,"CGN",17596,"MCD","microdontum",-232.166,"2313S",-649.166,"06455W","P. Salta","D. Oran","ARG","Sa de Zenta, Santa Cruz","01/04/72",3000,"24",-23.2166666666667,-64.9166666666667,2940.97387695312
361,"CGN",18046,"GIG","microdontum gigantophyllum",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,"24",NA,NA,NA
362,"CGN",18083,"GIG","microdontum gigantophyllum",-24.9,"2454S",-65.65,"06539W","P. Salta","D. Rosario de Lerma","ARG","Quebrada del Toro, Virrey Toledo, ruta nac.51, km 35.5,","05/04/74",1600,"24",-24.9,-65.65,1598.61608886719
363,"CGN",17824,"MLT","multidissectum",-11.75,"1145S",-754.666,"07528W","D. Junin","P. Huancayo","PER","32 km towards Tarma from Huancayo","11/04/53",4000,"24",-11.75,-75.4666666666667,3390.92138671875
364,"CGN",17829,"DMS","demissum",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"24",NA,NA,NA
365,"CGN",18000,"VNT","venturii",-236.333,"2338S",-65.1,"06506W","P. Jujuy","D. Tilcara","ARG","piscuno, por la senda de casa colorada a molulo. a 10 m de oka 4391","23/03/72",3200,"24",-23.6333333333333,-65.1,2088.91625976562
366,"CGN",18109,"VNT","venturii",-251.666,"2510S",-658.333,"06550W","P. Salta","D. Chicoana","ARG","Cuesta del Obispo, Quebrada La Sirena , 4km arriba pie de la cuesta, ruta59","08/04/74",2600,"24",-25.1666666666667,-65.8333333333333,2830.05541992188
367,"CGN",18108,"VNT","venturii",-25.15,"2509S",-658.333,"06550W","P. Salta","D. Chicoana","ARG","Nacional route 59, km 50.6, 10 km W of Hosteria El Maray","04/04/73",3100,"24",-25.15,-65.8333333333333,3547.0712890625
368,"CGN",17998,"VNT","venturii",NA,NA,NA,NA,"P. Jujuy","D. Tilcara","ARG","Piscuno, Casa Colorada-Molulo road",NA,NA,"24",NA,NA,NA
369,"CGN",17830,"PTA","papita",24.95,"2457N",-103.9,"10354W","E. Durango",NA,"MEX","Near Hacienda Otinapa, Ranche Alamito, high valley of Rio Chico","11/09/58",2300,"48",24.95,-103.9,1609.70666503906
370,"CGN",17832,"PTA","papita",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"48",NA,NA,NA
371,"CGN",17667,"PHU","phureja",NA,NA,NA,NA,"D. Cauca",NA,"COL",NA,NA,NA,"24",NA,NA,NA
372,"CGN",18301,"PHU","phureja",NA,NA,NA,NA,NA,NA,"COL",NA,NA,NA,"24",NA,NA,NA
373,"CGN",18315,"PHU","phureja",NA,NA,NA,NA,NA,NA,"ECU",NA,NA,NA,"24",NA,NA,NA
374,"CGN",17745,"PNT","pinnatisectum",206.666,"2040N",-103.333,"10320W","E. Jalisco",NA,"MEX","29 miles from Guadalajara on the road to Mexico City","15/09/58",1600,"24",20.6666666666667,-103.333333333333,1552.013671875
375,"CGN",17743,"PNT","pinnatisectum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"24",NA,NA,NA
376,"CGN",17749,"PLD","polyadenium",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"24",NA,NA,NA
377,"CGN",17746,"PLD","polyadenium",19.7,"1942N",-101.116,"10107W","E. Michoacan",NA,"MEX","Mount Punguato, Morelia","09/09/62",2200,"24",19.7,-101.116666666667,2053.2373046875
378,"CGN",17750,"PLT","polytrichon",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"48",NA,NA,NA
379,"CGN",17751,"PLT","polytrichon",227.833,"2247N",-102.583,"10235W","E. Zacatecas",NA,"MEX","8 miles from Zacatecas on the road to Durango","09/09/58",2350,"48",22.7833333333333,-102.583333333333,2496.75170898438
380,"CGN",17598,"RAP","raphanifolium",-134.333,"1326S",-71.85,"07151W","D. Cusco","P. Calca","PER","Intihuatana Ruins, up from Pisac","24/04/53",3350,"24",-13.4333333333333,-71.85,3361.00366210938
381,"CGN",17753,"SPEC","species",-135.166,"1331S",-719.833,"07159W","D. Cusco","P. Quispicanchis","PER","Sacsayhuaman ruins","17/04/59",3520,"24",-13.5166666666667,-71.9833333333333,3432.8681640625
382,"CGN",18225,"SPL","sparsipilum",-173.833,"1723S",-661.666,"06610W","D. Cochabamba","P. Cercado","BOL","On the grounds of the University of Cochabamba","17/03/80",2560,"24",-17.3833333333333,-66.1666666666667,2572.939453125
383,"CGN",18230,"SPL","sparsipilum",-176.166,"1737S",-663.166,"06619W","D. Cochabamba","P. Capinota","BOL","Charamoco, S 1 km from the village","29/03/80",2400,"24",-17.6166666666667,-66.3166666666667,2489.72314453125
384,"CGN",18154,"SPL","sparsipilum",-16.55,"1633S",-690.166,"06901W","D. La Paz","P. Ingavi","BOL","2.5 km from Desaguadero to Guaqui","22/03/80",3790,"24",-16.55,-69.0166666666667,3815
385,"CGN",17759,"SPG","spegazzinii",-272.333,"2714S",-66.25,"06615W","P. Catamarca","D. Andalgala","ARG","Route 63, between Santa Maria and Andalgala, Ingenion Arenala","17/02/66",2800,"24",-27.2333333333333,-66.25,2857.04418945312
386,"CGN",17839,"SPG","spegazzinii",NA,NA,NA,NA,NA,NA,"ARG",NA,NA,NA,"24",NA,NA,NA
387,"CGN",18351,"STN","stenotomum",NA,NA,NA,NA,NA,NA,"COL",NA,NA,NA,"24",NA,NA,NA
388,"CGN",20616,"STN","stenotomum",-183.333,"1820S",-67.6,"06736W","D. Oruro","P. Carangas","BOL","39km from Toledo to Corque, near Hauko Kcale.","27/03/80",3750,"24",-18.3333333333333,-67.6,3760.28173828125
389,"CGN",17605,"STO","stoloniferum",19.7,"1942N",-101.116,"10107W","E. Michoacan",NA,"MEX","Cerro de Punguato","05/08/65",2400,"48",19.7,-101.116666666667,2053.2373046875
390,"CGN",18332,"STO","stoloniferum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,"48",NA,NA,NA
391,"CGN",18205,"SCR","sucrense",-201.333,"2008S",-654.833,"06529W","D. Potosi","P. Nor Chichas","BOL","90 km from Cotagaita to Potosi via Vitiche","01/04/80",3030,"48",-20.1333333333333,-65.4833333333333,3146.13720703125
392,"CGN",17861,"TAR","tarijense",-251.833,"2511S",-65.8,"06548W","P. Salta","D. Chicoana","ARG","2 km above de Escoipe, route 59. Pasando el Vado del RÇðo Escoipe","08/04/74",2100,"24",-25.1833333333333,-65.8,2583.81860351562
393,"CGN",17768,"VER","verrucosum",192.833,"1917N",-98.05,"09803W","E. Tlaxcala",NA,"MEX","Above San Diego de Pinar. mt.Malinche","12/10/38",2900,"24",19.2833333333333,-98.05,3027.81665039062
394,"CGN",18121,"SPEC","species",-162.666,"1616S",-679.666,"06758W","D. La Paz","P. Sud Yungas","BOL","44 km from toll-block La Paz to Unduavi (Unduavi Junction)","19/02/80",3250,"24",-16.2666666666667,-67.9666666666667,3926.39770507812
395,"CGN",18144,"ADG x CUR","ADG x CUR",-17.65,"1739S",-675.166,"06731W","D. Oruro","P. Cercado","BOL","6km from Eucaliptus to La Joya (along Rio Desaguadero).","14/03/80",3700,"48",-17.65,-67.5166666666667,3733.59692382812
396,"CGN",18149,"ADG x CUR","ADG x CUR",-178.833,"1753S",-670.333,"06702W","D. Oruro","P. Cercado","BOL","23km from Caihuasi to Oruro, 3km after Paria.","19/03/80",3780,"48",-17.8833333333333,-67.0333333333333,3726.63256835938
397,"CGN",18134,"ADG x CUR","ADG x CUR",-15.55,"1533S",-690.833,"06905W","D. La Paz","P. Camacho","BOL","15km from Escoma to Italaque (Chicoma village).","06/03/80",3900,"48",-15.55,-69.0833333333333,3861.859375
398,"CGN",962564,"ADG x SCR","ADG x SCR",NA,NA,NA,NA,"D. Potosi","P. Nor Chichas","BOL","2km from Cotagaita on road to Atocha","03/04/74",3200,"48",NA,NA,NA
399,"CGN",NA,"ADG x SCR","ADG x SCR",NA,NA,NA,NA,"D. Chuquisaca","P. Sud Cinti","BOL","15km E of Culpina on road from San Pedro to Incahuasi.",NA,2925,"48",NA,NA,NA
400,"CGN",21355,"ADG x SCR","ADG x SCR",NA,NA,NA,NA,"D. Potosi","P. Nor Chichas","BOL","49km from Tupiza to Cotagaita (East branch)","17/04/74",NA,"48",NA,NA,NA
401,"CGN",18191,"ARZ x HDM","ARZ x HDM",-192.166,"1913S",-644.833,"06429W","D. Chuquisaca","P. Jaime Mendoza","BOL","54km from Zudanez to Padilla","09/03/80",2040,"24",-19.2166666666667,-64.4833333333333,2396.78002929688
402,"CGN",18229,"BER x SPL","BER x SPL",-175.666,"1734S",-663.833,"06623W","D. Cochabamba","P. Capinota","BOL","2 km from Parotani on the road to Capinota (1 km from the new road)","29/03/80",2450,"24",-17.5666666666667,-66.3833333333333,2680.51904296875
403,"CGN",962403,"BRC x SPL","BRC x SPL",-174.833,"1729S",-652.666,"06516W","D. Cochabamba","P. Carrasco","BOL","106km from Cochabamba to Santa Cruz, Escalante","21/02/80",2950,"24",-17.4833333333333,-65.2666666666667,2826.15405273438
404,"CGN",962443,"BRC x SPL","BRC x SPL",-173.166,"1719S",-661.666,"06610W","D. Cochabamba","P. Cercado","BOL","road through Parque de Tunari, Cerro Tunari, 17-18 km from park entrance","14/03/80",3750,"24",-17.3166666666667,-66.1666666666667,3655.82983398438
405,"CGN",20619,"LPH x SPL","LPH x SPL",-18.38,NA,-66.57,NA,NA,NA,"","farm (Finke St. Helena), 5km from Plazna to Lago Poopo.",NA,NA,"24",NA,NA,NA
406,"CGN",18250,"MAG x MCD","MAG x MCD",NA,NA,NA,NA,"P. Mendoza",NA,"ARG","Q. Alvarado",NA,1500,"24",NA,NA,NA
407,"CGN",NA,"OPL x TBR","OPL x TBR",-22.06,"22.06 S",-65.28,"065.28 W","P. Jujuy","D. Yavi","ARG",NA,NA,3400,"48",NA,NA,NA
408,"CGN",20632,"PTR x LPH","PTR x LPH",-196.666,"1940S",-655.333,"06532W","D. Potosi","P. Linares","BOL","54km from Potosi to Puna via Chaqui","03/03/80",3300,"24",-19.6666666666667,-65.5333333333333,3457.17797851562
409,"CGN",962183,"PTR x LPH","PTR x LPH",-19.45,"1927S",-658.166,"06549W","D. Potosi","P. Frias","BOL","Cayara village, 25km from Potosi on the old road to Oruro","04/03/80",3380,"24",-19.45,-65.8166666666667,3854.251953125
410,"CGN",960058,"RAP x SPL","RAP x SPL",NA,NA,NA,NA,"D. Cusco","P. Cusco","PER","Cachona, 7 km from Cusco","16/04/59",3200,"24",NA,NA,NA
411,"CGN",20658,"RCH x MCD","RCH x MCD",NA,NA,NA,NA,NA,NA,"ARG",NA,NA,NA,"24",NA,NA,NA
412,"CGN",962507,"SCR x OPL","SCR x OPL",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,"48",NA,NA,NA
413,"CGN",18142,"SPL x LPH","SPL x LPH",-16.55,"1633S",-68.1,"06806W","D. La Paz","P. Murillo","BOL","from La Paz to Mecapaca, Aranjuez, 1km past Inst. Biblico Nazareno, garden of Vivera Forestal","13/03/80",3190,"24",-16.55,-68.1,3447.11450195312
414,"CGN",960960,"SPL x SCR","SPL x SCR",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,"24",NA,NA,NA
415,"CGN",961703,"spp","species",-8.25,"0815S",-780.166,"07801W","D. Ancash","P. Pallasca","PER","Near Consuzo, Cerro Huaura, minas de Huaura, San Luis","26/03/64",4000,"24",-8.25,-78.0166666666667,2588.66040039062
416,"CGN",20580,"SPEC","species",NA,NA,NA,NA,"D. Lima",NA,"PER","Valley Chillon River",NA,1150,"24",NA,NA,NA
417,"CGN",961753,"spp","species",NA,NA,NA,NA,"D. Lima",NA,"PER","Zarate forest above Lima",NA,2700,NA,NA,NA,NA
418,"CGN",962468,"TAR x ARZ","TAR x ARZ",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,"24",NA,NA,NA
419,"CGN",960084,"TAR x MCD","TAR x MCD",NA,NA,NA,NA,"D. Potosi","P. Frias","BOL","near Potosi","01/03/59",4100,"24",NA,NA,NA
420,"CGN",961955,"VIO x YUN","VIO x YUN",-163.166,"1619S",-67.85,"06751W","D. La Paz","P. Sud Yungas","BOL","62km from Chulumani to La Paz","22/02/80",2480,"24",-16.3166666666667,-67.85,3580.99560546875
421,"CGN",18124,"VIO x YUN","VIO x YUN",-162.666,"1616S",-679.166,"06755W","D. La Paz","P. Sud Yungas","BOL","61km from Chulamani to La Paz, Tresmarias","22/02/80",2400,"24",-16.2666666666667,-67.9166666666667,2828.94067382812
422,"CGN",20656,"WBR x YUN","WBR x YUN",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"24",NA,NA,NA
423,"CGN",18357,"ABN","abancayense",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,"24",NA,NA,NA
424,"CGN",18179,"ACL","acaule",-188.333,"1850S",-658.833,"06553W","D. Potosi","P. Chayanta","BOL","4 km from Ocuri to Colquechaca","23/02/80",3780,"48",-18.8333333333333,-65.8833333333333,3981.0009765625
425,"CGN",18203,"ACL","acaule",-216.333,"2138S",-65.05,"06503W","D. Tarija","P. Aviles","BOL","79 km far from Tarija on road to Villacon","31/03/80",3650,"48",-21.6333333333333,-65.05,3780.052734375
